cast,crew,date,playwright,playwright_formatted,playwright_formatted_long,run,season,title,type,venue,year_title
Dave Porter/Chloe Bickford/Genevieve Cunnell/Karl Rawsthorne/,Page Phillips Harrington/Eden Phillips Harrington/Nikki Hill/Chelsea Jayne Wright/Tom Selves/Logan Wamsley/Will Berrington/Ollie Shortt/Rachel Connolly/Emily Sterling/Dave Hanks/,2014-03-19,Chris Chibnall,by Chris Chibnall,by Chris Chibnall,19-22 March 2014,In House,Kiss Me Like You Mean It,show,New Theatre,2013-14
Tom Tolond/,Andy Routledge/Tom Dineen/Alex Jamieson/Aubrey Turner/Eve Wersocki-Morris/Nick Barker/Will Pimblett/Nick Barker/Alex Jamieson/Nick Barker/Alex Jamieson/Nick Barker/,2014-06-02,Samuel Beckett,by Samuel Beckett,by Samuel Beckett,2-6 June 2014,External,Krapp's Last Tape,show,New Theatre,2013-14
Ricki Crook/Matt Standen/Omid Faramarzi/Olivia Rook/Matt Hodges/,Georgina Varley/Georgina Varley/Holly Pownall/Melissa Donaldson/Sioned Walker/Elissa Burgoine/Sioned Walker/Melissa Donaldson/,2013-12-02,Georgina Varley,by Georgina Varley,by Georgina Varley,2-3 December 2013,Fringe,Letting Go,show,New Theatre Studio A,2013-14
NA,Joseph Heil/,2014-05-21,Aristophanes,by Aristophanes,by Aristophanes,21-24 May 2014,Postgrads,Lysistrata,show,New Theatre,2013-14
Harry Bradley/Tom Gladstone/Richard Hill/Will Hedges/Jacob Hayes/Shannon Smith/,Nadia Amico/Natasha Mortimer/Tyler-Antonia Gordon/Joanne Blunt/Lyle Fulton/Gilad Grant/Jordan Edgar-Oliyide/Nick Davies/,2014-06-06,Jez Butterworth,by Jez Butterworth,by Jez Butterworth,6-7 June 2014,External,MOJO,show,New Theatre,2013-14
Chloe Bickford/Daniel O'Connor/Sam Peake/,Jake Leonard/Amy McWalters/Harriet Lowe/Euan Ritchie/Kat Tye/Kati Hall/Kat Tye/Harriet Lowe/Euan Ritchie/Tom Herzberg/Matt Miller/Dan Latham/Jo Estrin/Hugh Purves/Alexandra Day/Hugh Purves/Nikki Hill/Charlotte Bezant/James Thomas/Tom Selves/Nicola Fox/Will Pimblett/Chelsea Jayne Wright/Will Pimblett/Rachel Lee/Nicola Fox/Sian Beaven/Mitchell Masterson/Jo Ward/Becca Humphreys/Logan Wamsley/Chelsea Jayne Wright/Tyler-Antonia Gordon/Tom Selves/Sarah Hodgson/Daniel O'Connor/Jess Curtis/Dimitrios Darzentas/Feargal Murphy/,2013-11-27,Brian Friel,by Brian Friel,by Brian Friel,27-30 November 2013,In House,Molly Sweeney,show,New Theatre,2013-14
Nick Barker/Laura Gallop/,Ben Williamson/Ben Williamson/Nick Davies/Tessa Denney/Jo Estrin/Hugh Purves/Will Hedges/Gus Herbert/,2014-08-02,Ben Williamson,by Ben Williamson,by Ben Williamson,2-24 August 2014,Edinburgh,Queen B,show,ZOO Monkeyhouse,2013-14
Diderik Ypma/Sam Greenwood/Katy Roe/Tom Gladstone/David Whalley/Ollie Shortt/Jake Leonard/Aimee Gaudin/Tom Tolond/Lucy Bromilow/Holly Daniels/Will Hedges/Chris Trueman/Rory O'Shea/Jemima Rathbone/Aaron Tej/Eoin Buckley/,James McAndrew/Nick Stevenson/Ed Currie/Chelsea Jayne Wright/Aubrey Turner/Hannah Doyle/Daniel O'Connor/Michael Ferdenzi/Maddie Hardy/Hugh Purves/Jess Curtis/Jenny Kohnhorst/Nick Lowe/Joanna Manning/Joanne Blunt/Dave Hanks/Lily McGeough/Nick Barker/Nadia Amico/Gilad Grant/unknown/,2014-03-26,William Shakespeare,by William Shakespeare,by William Shakespeare,26-29 March 2014,In House,Romeo and Juliet,show,New Theatre,2013-14
Nick Gill/Jess Lundholm/Matt Standen/Jess Curtis/Adam Edwards/,Harriet Davis/Sioned Walker/,2014-03-17,Harriet Davis,by Harriet Davis,by Harriet Davis,17-18 March 2014,Fringe,Room 30,show,New Theatre Studio A,2013-14
Becca Clee/Ollie Shortt/Lucy Kerr/Nick Lowe/Emily Sterling/Ben Hollands/,Alice Hildreth/Matthew Richards/Matthew Richards/Alice Hildreth/Holly Pownall/Nathan Penney/Nathan Penney/Joseph Heil/Holly Pownall/Nathan Penney/Ben Hollands/Thomas Addison/,2013-11-04,Lucille Fletcher,by Lucille Fletcher,by Lucille Fletcher,4-5 November 2013,Fringe,Sorry/Wrong Number,show,New Theatre Studio A,2013-14
Harriet Lowe/Ben Maries/Kati Hall/Charlotte van Rhee/Bernie Kerr/,Krishanthi Jeyakumar/Jack Revell/Tom Selves/Michael Ferdenzi/Tyler-Antonia Gordon/Rory O'Shea/Sebastian Frend/Tom Selves/Joseph Heil/Maddie Hardy/,2014-04-08,Polly Stenham,by Polly Stenham,by Polly Stenham,8-11 April 2014,In House,That Face,show,New Theatre,2013-14
Aaron Tej/Genevieve Cunnell/Will Hedges/Alex Mawby/Wesley Nash/Afia Spencer/Aimee Gaudin/Holly Daniels/Jordan Edgar-Oliyide/Diderik Ypma/Eoin Buckley/Bernie Kerr/Logan Wamsley/James Roscow/,Nadia Amico/Jenny Kohnhorst/Tyler-Antonia Gordon/Adam Bergen/Courtney Rose/Nikki Hill/Michael Ferdenzi/Hannah Doyle/Nathan Penney/Alex Jamieson/Joseph Heil/Aubrey Turner/,2013-11-20,Stephen Adly Guirgis,by Stephen Adly Guirgis,by Stephen Adly Guirgis,20-23 November 2013,In House,The Last Days Of Judas Iscariot,show,New Theatre,2013-14
James Bentley/Laura Gallop/Shannon Smith/Ollie Shortt/,Tom Tolond/Nick Davies/Tessa Denney/Tessa Denney/Ginny Lee/Matthew Richards/Holly Pownall/Joanne Blunt/Tom Selves/Eden Phillips Harrington/,2013-10-23,Philip Ridley,by Philip Ridley,by Philip Ridley,23-26 October 2013,In House,The Pitchfork Disney,show,New Theatre,2013-14
Ben Hollands/Jacob Hayes/Sasha Butler/Rachel Angeli/Tom Willis/Cressida McGill/Aaron Tej/Tom Gladstone/Will Berrington/,Ellie Cawthorne/Tess Monro-Somerville/Dave Hanks/Nick Barker/,2014-03-10,null,Devised,Devised,10-11 March 2014,Fringe,The Rehearsal,show,New Theatre Backstage,2013-14
Maddie Hardy/Lyle Fulton/Aimee Gaudin/Nikki-Lee Clarke/Eoin Buckley/Sam Greenwood/Penny Bainbridge/,Nadia Amico/Jenny Kohnhorst/Kat Tye/Nick Stevenson/Elizabeth Sybil Charlesworth/Adam H. Wells/Kat Tye/Wesley Nash/Joseph Heil/,2014-07-25,Adam H. Wells & Elizabeth Sybil Charlesworth,by Adam H. Wells & Elizabeth Sybil Charlesworth,by Adam H. Wells & Elizabeth Sybil Charlesworth,25 July 2014,External,The Reviewers,show,New Theatre,2013-14
NA,Joseph Heil/,2014-01-22,Richard B. Sheridan,by Richard B. Sheridan,by Richard B. Sheridan,22-25 January 2014,Postgrads,The Rivals,show,New Theatre,2013-14
NA,NA,2014-02-20,Eve Ensler,by Eve Ensler,by Eve Ensler,20-20 February 2014,External,The Vagina Monologues,show,New Theatre,2013-14
