cast,crew,date,playwright,playwright_formatted,playwright_formatted_long,run,season,title,type,venue,year_title
Ricki Crook/Holly Gatfield/Amy Brough-Aikin/Jonathan Taylor Davies/Arnaud Lacey/,Jack Revell/Emma Kendall/Darcey Graham/Joseph Heil/,2015-06-18,null,Devised,Devised,18 June 2015,STUFF,OPEN,show,New Theatre,2014-15
Diderik Ypma/Anna Stubbs/Shannon Smith/,Gus Herbert/Matt Standen/Joseph Heil/Alba Bodi Garcia/Harry Bridge/Nick Gill/James Fox/Nathan Penney/Maddie Hardy/Max Miller/,2015-02-25,Dennis Kelly,by Dennis Kelly,by Dennis Kelly,25-28 February 2015,In House,Orphans,show,New Theatre,2014-15
Eoin Buckley/Carn Truscott/Jess Leppington/Zoe Plummer/Leonardo Goodall/Ellen Richardson/Izzie Masters/Josh Mallalieu/Sam Young/Duncan McGillivray/Jeanne Pasquet/Joe Strickland/,Laura Thornton/Joe Strickland/Maeve Thompson/Benedict Smith/David Taylor/Joanna Manning/Rachel Richardson/David Taylor/Ali Uzair Lalani/Joseph Heil/Alex Huntley/,2014-11-24,Timberlake Wertenbaker,by Timberlake Wertenbaker,by Timberlake Wertenbaker,24-29 November 2014,In House,Our Country's Good,show,New Theatre,2014-15
Daniel O'Connor/James Pardon/Nick Slater/,Ollie Shortt/Charlotte van Rhee/Matthew Lewinton/Gus Herbert/Nathan Penney/Harry Bridge/Harry Bridge/Darcey Graham/Matt Standen/Nick Gill/Harriet Lowe/Tom Tolond/Joanna Manning/Maddie Hardy/Alex Huntley/,2015-03-24,Ali Taylor,by Ali Taylor,by Ali Taylor,24-27 March 2015,In House,Overspill,show,New Theatre,2014-15
Ben Hollands/Jacob Hayes/Sasha Butler/Rachel Angeli/Will Hedges/Amelia Gann/Aaron Tej/Tom Gladstone/Will Berrington/,Tess Monro-Somerville/Ellie Cawthorne/Joseph Heil/Nathan Penney/,2015-01-28,null,Devised,Devised,28-31 January 2015,External,Paper Productions PresentThe Rehearsal,show,New Theatre Backstage,2014-15
NA,Joseph Heil/,2015-01-21,Timberlake Wertenbaker,by Timberlake Wertenbaker,by Timberlake Wertenbaker,21-24 January 2015,Postgrads,Postgraduate NT PresentOur Country's Good,show,New Theatre,2014-15
NA,NA,2015-05-20,Friedrich Dürrenmatt,by Friedrich Dürrenmatt,by Friedrich Dürrenmatt,20-23 May 2015,Postgrads,Postgraduate NT PresentThe Physicists,show,New Theatre,2014-15
Jacob Hayes/Rachel Angeli/Tom Gladstone/Anna Stubbs/Will Berrington/Sasha Butler/Conor Jones/Maddie Hardy/,Bridie Rollins/Lara Tysseling/Dina Elkordy/Adam Bergen/Joanna Manning/Wesley Nash/Sam Osborne/James Bentley/Joseph Heil/Nikki Vigilance/Kathy Shepherd/,2014-11-05,Simon Stephens,by Simon Stephens,by Simon Stephens,5-8 November 2014,In House,punk rock,show,New Theatre,2014-15
Arnaud Lacey/Jake McGrath/Jess Leppington/Ellen Richardson/Gary Berezin/Sam Young/Mike Bradley/Robert Goodall/Carn Truscott/,Carn Truscott/Joe Strickland/James Fox/Max Miller/,2015-03-22,Quenton Tarantino,by Quenton Tarantino,by Quenton Tarantino; Adapted by Carn Truscott,22-23 March 2015,Fringe,Reservoir Dogs,show,New Theatre Studio A,2014-15
Eoin Buckley/Jake Leonard/Penny Bainbridge/Joe Hincks/Max Miller/Omid Faramarzi/Emma Kendall/Tom Tolond/Bernie Kerr/Niamh Caines/Lou Knapp/Daniella Finch/,Chris Trueman/Molly McGee/Daniel Stranks/Sam Osborne/Joanne Blunt/Sam Osborne/Joanne Blunt/Joseph Heil/Max Miller/Felix Taylor/Ollie Shortt/Olivia Rose French/Tom Proffitt/Beth Wilson/Jessica Millott/Rachel Connolly/Matt Standen/Darcey Graham/,2015-06-10,Eugène Ionesco,by Eugène Ionesco,by Eugène Ionesco,10-13 June 2015,In House,Rhinoceros,show,New Theatre,2014-15
Wesley Nash/Tom Gladstone/Aimee Gaudin/Verity Spencer/Maddie Hardy/Ben Standish/John Bell/,Ben Williamson/Dina Elkordy/Cameron Walker/Joseph Heil/Nathan Penney/Harry Bridge/Harriet Lowe/Tom Tolond/Kati Hall/Ben Williamson/Maddie Hardy/Ben Williamson/,2015-04-29,Jim Cartwright,by Jim Cartwright,by Jim Cartwright,29 April-2 May 2015,In House,Road,show,New Theatre,2014-15
Felicity Chilver/Sam Greenwood/Maddie Hardy/Page Phillips Harrington/Joe Hincks/Duncan McGillivray/Lizzie Frainier/Mike Bradley/Lou Knapp/Alice Richards/,Chris Trueman/Lara Cowler/Imogen Harrison/Dave Hanks/Darcey Graham/Harry Bridge/Joseph Heil/,2014-12-07,Chris Trueman and Jack Solloway,by Chris Trueman and Jack Solloway,by Chris Trueman and Jack Solloway,7-8 December 2014,Fringe,The Adventures of Anne Marie de Bourbon,show,New Theatre Studio A,2014-15
Daniel O'Connor/Wesley Nash/James Pardon/,Dina Elkordy/Maddie Hardy/Darcey Graham/Nathan Penney/,2015-06-01,Adam Long,by Adam Long,by Adam Long,1-2 June 2015,External,The Complete Works of William Shakespeare - Abridged,show,New Theatre,2014-15
Nick Gill/Chloe Bickford/Emily Brady/Will Berrington/,Tom Proffitt/Darcey Graham/Alba Bodi Garcia/Harry Bridge/Amy Naylor/James Fox/Emilie Brittain/Nick Jones/Harriet Lowe/Annette Coyle/Nyssa Comber/Darcey Graham/Maddie Hardy/Lou Knapp/Beth Mullen/Jake Leonard/Joanna Manning/Jess Lundholm/Lou Knapp/,2015-03-18,Tennessee Williams,by Tennessee Williams,by Tennessee Williams,18-21 March 2015,In House,The Glass Menagerie,show,New Theatre,2014-15
Jess Lundholm/Emma Kendall/Feargal Murphy/Amy Brough-Aikin/,Sam Greenwood/Jessica McNamee/Carn Truscott/Lydia Smith/Alex Huntley/Joseph Heil/Eden Phillips Harrington/Nathan Penney/Wesley Nash/David Taylor/Louis Harris/Harry Bridge/Joanne Blunt/Lou Knapp/Darcey Graham/Omid Faramarzi/Lucia Choi/Joanna Manning/Alex Huntley/,2014-10-29,Oliver Lansley,by Oliver Lansley,by Oliver Lansley,29 October-1 November 2014,In House,The Infant,show,New Theatre,2014-15
NA,NA,2015-02-11,null,Playwright Unknown,Playwright Unknown,11-14 February 2015,External,The Red Herrings PresentSmall World,show,New Theatre,2014-15
Nick Jeffrey/James Bentley/Amelia Gann/Wesley Nash/Diderik Ypma/Ben Standish/Libby Boyd/Nick Cain/,Ben Williamson/James Bentley/Hattie Edmunds/Daniel O'Connor/Tyler-Antonia Gordon/Joanne Blunt/Darcey Graham/Harry Bridge/Gilad Grant/Ben Williamson/James Bentley/Maddie Hardy/Nikki Hill/Laura Gallop/Dave Hanks/Ben Williamson/James Bentley/,2014-12-03,Dennis Kelly,by Dennis Kelly,by Dennis Kelly,3-6 December 2014,In House,The Ritual Slaughter of Gorge Mastromas,show,New Theatre,2014-15
Amy Brough-Aikin/James Roscow/Charlotte Kirkman/Emilie Brittain/Anna Scholes/Sasha Gibson/Gus Herbert/,Ben Hollands/Emily Brady/Nathan Penney/Darcey Graham/Harry Bridge/Joseph Heil/Jess Lundholm/Kathy Shepherd/Ben Hollands/Rachel Angeli/Niamh Caines/Emma Fearon/Darcey Graham/Emma Kendall/Max Miller/Lydia Smith/Beth Wilson/,2015-06-08,Ben Hollands,by Ben Hollands,by Ben Hollands,8-9 June 2015,Fringe,The Toyland Murders,show,Trent/Performing Arts Studio,2014-15
NA,NA,2015-06-19,null,Playwright Unknown,Playwright Unknown,19 June 2015,STUFF,UoN Improv Show,show,New Theatre,2014-15
NA,NA,2015-06-17,null,Playwright Unknown,Playwright Unknown,17 June 2015,STUFF,URN PresentsAcoustic Night,show,New Theatre,2014-15
Beth Mullen/Harry Patte-Dobbs/Penny Bainbridge/Adam Edwards/Jessica Prew/James McGilloway/,Gary Berezin/Dina Elkordy/Joseph Heil/Joanna Manning/,2014-11-30,Gary Berezin,by Gary Berezin,by Gary Berezin,30 November-1 December 2014,Fringe,What's Cooking?,show,New Theatre Studio A,2014-15
Genevieve Cunnell/Jess Lundholm/Rachel Angeli/Lara Cowler/Sam Greenwood/Sam Peake/Kat Lewis/Alice Simmons/Boo Jackson/Chloe Grant/Iona Hampson/Lydia Dyer/Rachel Connolly/Sasha Gibson/,Page Phillips Harrington/Eden Phillips Harrington/Alix Gabaude/Lucy Price/Lucy Castle/Joanne Blunt/Nathan Penney/Joanna Manning/Joseph Heil/Adam Bergen/Dave Hanks/Tom Tolond/Tornike Koplatadze/Alice Kitchener/Andrea Alvarez/Darcey Graham/Sam Osborne/Adam Humphries/Andrea Alvarez/Mia Phillips Harrington/Virginia Moore/,2015-05-06,Euripides,by Euripides,by Euripides; Translated by Don Taylor,6-9 May 2015,In House,Women of Troy,show,New Theatre,2014-15
Karl Rawsthorne/Bethany Ames/Niamh Caines/Will Berrington/Joe Hincks/Gary Berezin/,Miriam Dyberg-Tengroth/Tom Heath/Joanne Blunt/Amy Naylor/Beth Mullen/Tom Heath/Tom Heath/Will Berrington/,2015-05-11,Miriam Dyberg,by Miriam Dyberg,by Miriam Dyberg,11-12 May 2015,Fringe,Yours and Mine,show,New Theatre Studio A,2014-15
Harry Bradley/Nick Gill/Sasha Butler/Ben Standish/Lou Knapp/Chris Sharp-Paul/Joe Stanway/Louis Djalili/Hannah Brown/,Gus Herbert/Matt Standen/Tim Behrman/Hannah Kettle/Harry Bridge/Arthur Mckechnie/Joanne Blunt/Ben Woodford/Hannah Kettle/Harry Bridge/James Fox/Darcey Graham/Elis Edhem/Rachel Connolly/Aaron Tej/Max Miller/Joseph Heil/Nathan Penney/,2015-11-11,Arthur Miller,by Arthur Miller,by Arthur Miller,11-14 November 2015,In House,A View From The Bridge,show,New Theatre,2015-16
NA,NA,2016-06-15,null,Playwright Unknown,Playwright Unknown,15 June 2016,STUFF,Aaron Calvert - Decisions,show,New Theatre,2015-16
Emilie Brittain/Gemma Burton/Georgie Brand/Rachel Connolly/Sasha Gibson/Jamie Watt/Pete Przyslo/Dave Porter/Miguel Barrulas/Luke Slater/,Ed Eggleton/Tom Heath/Maddie Stone/Rohanna Brown/Will Pimblett/Will Pimblett/Ollie Shortt/Emma Barber/Ben Woodford/James Fox/Adam Humphries/Joanna Manning/Charlotte Kirkman/Emily Dimino/Aneesa Kaleem/,2016-05-04,Peter Whelan,by Peter Whelan,by Peter Whelan,4-7 May 2016,In House,The Accrington Pals,show,New Theatre,2015-16
Rachel Angeli/,Emma White/Felicity Chilver/Lydia Kilbey/Miles Bardon/Joanne Blunt/Emma White/,2016-03-13,Emma White,by Emma White,by Emma White,13-14 March 2016,Fringe,Ambergate Resevoir,show,New Theatre Studio A,2015-16
Niamh Caines/Harry Pavlou/Arnaud Lacey/James Roscow/Izzy Miles/Jeremy Dunn/Omid Faramarzi/Max Miller/Charlotte Sanders/Gary Berezin/,James Fox/Joe Strickland/Louise Croft/Joanne Blunt/Luke Holder/James Fox/Rohanna Brown/Bessie Ephgrave/Alix Gabaude/Emily Sterling/Tom Proffitt/Lydia Smith/Laura Jayne Bateman/Ollie Shortt/Jack Adamson/Georgia Hamp/James Fox/Amy Summers/,2016-06-08,Agatha Christie,by Agatha Christie,by Agatha Christie,8-11 June 2016,In House,And Then There Were None,show,New Theatre,2015-16
Nick Gill/Harry Bradley/Rachael Baines/Ben Dillon/,Ollie Shortt/Lydia Smith/Natalia Gonzalez Morales/Tom Selves/James Fox/Harry Bradley/,2016-02-24,Mike Bartlett,by Mike Bartlett,by Mike Bartlett,24-27 February 2016,In House,Bull,show,New Theatre,2015-16
NA,NA,2016-01-20,Michael Cooney,by Michael Cooney,by Michael Cooney,20-23 January 2016,Postgrads,Cash On Delivery,show,New Theatre,2015-16
Jess Donn/Emma Summerton/Sasha Gibson/Charlotte Kirkman/Beth Summerfield/Becca Clee/Becca Jones/Emma Kendall/Lou Knapp/Maggie Dorling/Alix Gabaude/Iona Hampson/Alice Simmons/Ben Hollands/Miguel Barrulas/Andrew Houghton/Jake McGrath/Tom Proffitt/James Roscow/Ben Standish/Laura Jayne Bateman/Maddie Hardy/Niamh Caines/Gus Herbert/Will Berrington/Gary Berezin/Felicity Chilver/Matt Standen/Joe Strickland/Chris Trueman/James Curling/Joe Hincks/Max Miller/Darcey Graham/Tom Selves/Toby Stevens/Daniella Finch/Sam Peake/Arnaud Lacey/,Jake Leonard/Laura Jayne Bateman/Lydia Smith/Joanne Blunt/Rohanna Brown/Max Miller/,2016-06-03,null,Various Writers,Various Writers,3-4 June 2016,External,Charity Gala,show,New Theatre,2015-16
Ben Standish/Sophie Walton/,Gus Herbert/Matt Standen/Tom Selves/Sam Osborne/Max Miller/Harry Bradley/Omid Faramarzi/Jodie McDonald/,2016-06-06,Nick Payne,by Nick Payne,by Nick Payne,6-7 June 2016,Fringe,Constellations,show,Djanogly Theatre,2015-16
Ted Marriott/,Tom Proffitt/Ed Eggleton/Sam Osborne/David Taylor/Emma Barber/Max Miller/,2015-11-23,Tom Proffitt,by Tom Proffitt,by Tom Proffitt,23-24 November 2015,Fringe,Dark Room,show,New Theatre Studio A,2015-16
Shannon Smith/Rachel Angeli/Natalia Gonzalez Morales/Aaron Tej/Lou Knapp/Nick Gill/,Harry Bradley/Tom Willis/Sam Layton/Joanne Blunt/Laura Jayne Bateman/Harry Bradley/,2016-04-25,Tom Willis,by Tom Willis,by Tom Willis,25-26 April 2016,Fringe,Electric Nebraska,show,New Theatre Studio A,2015-16
Miguel Barrulas/Alice Simmons/Ben Dillon/Robert Goodall/Darcey Graham/,Emily Sterling/Eden Phillips Harrington/Shannon Moffatt/Josh Mallalieu/Andrew Calverley/Joseph Heil/Nathan Penney/Beth Wilson/,2016-03-07,Daniel Keyes,by Daniel Keyes,by Daniel Keyes; Adapted by David Rogers,7-8 March 2016,Fringe,Flowers For Algernon,show,Sherwood Library,2015-16
Izzy Miles/Beth Angella/Abi Davies/Sam Edwards/Inga Becker-Mansen/Alessia Molteni/Joseph McGeehan/George Waring/Ronan Lee/Olivia Wilson/Georgina Brand/Ed Eggleton/Hugh O'Keefe/Beth Summerfield/Ranait Flanagan/Molly Fenton/Roberto Luzo/Grace O'Reagan/Hannah Slack/Anushka Singh/Taryn Read/Jens Lichter/Annabel Pahl/Jeremy Dunn/Hannah Stemp/Becki Jones/Ellie Chen/Karina Ennle/Hannah Brown/Joe Stanway/Janet Yang/Maddie Bownes/Nicolas Caballero/Charlotte Sanders/Rachel Angell/Scarlett Allen/Lucy Cornwell/Tim Behrman/Pete Przyslo/Ross Levy/Chrissy Courquin/Lily Pethou/Beth Higginson/Georgie Brand/Callum Walker/Rebecca Wheddan/Pamela Tickell/Lara Bellis/Jamie Watt/Isobel Davidson/Emily Harbottle/Sufia Chowdhury/Ben Dillon/Gemma Walton/Rosanna Nichols/Andrew Houghton/Georgia Miskelly/Gigi George/Katie Monk/Michael Booth/Vicky Lorriman/Samantha Karran/Maddy Strauss/Emma Palten/Arthur McKochrie/Laura Giles/Elis Edhem/Becca David/Katie Kamoa/Miguel Barrulas/Chris Smith/Emily Grant/Lucy Dinan/Anna Schmieding/Jaya Sharma/Ruby Wu/Jordan Allen/Francesca Gaporotto/Rachael Baines/Corah Pinnington/Ella Burns Robbins/Matteo Everett/Milan Jaspal/Mo Abatoyntes/Jess Aloe/Hannah-Beatrice Crew/Poppy Doran/Tobias Hunt/Ellie Sothcott/Kate Maguire/Rachel Towers/Avani Sharma/Rachel Foster/Frances Pringle/Mane Davtyan/Jamie Drew/Aasheesha Svinivesan/Tempestt Walsh/Sophie Walton/Shannon Moffatt/Arshia Jain/,Tom Selves/Tom Proffitt/Anna Scholes/Max Miller/Lou Knapp/Beth Wilson/Beth Mullen/Emma Fearon/Dina Elkordy/Anna Stubbs/Daniella Finch/Felicity Chilver/Sasha Gibson/Emilie Brittain/Charlotte Kirkman/Izzie Masters/Duncan McGillivray/Robert Goodall/Boo Jackson/Tom Heath/Ben Standish/Cameron Walker/Darcey Graham/Lara Cowler/Will Berrington/Nick Gill/Joe Strickland/Carn Truscott/Eden Phillips Harrington/Emily Sterling/Jake McGrath/Joe Hincks/Holly Gatfield/James Curling/Tom Tolond/James Roscow/Ian Sheard/Joanne Blunt/Emma Barber/Ben Woodford/,2015-10-05,null,Various Writers,Various Writers,5-6 October 2015,In House,Freshers' Fringe,show,New Theatre,2015-16
Rachel Connolly/Emma Summerton/Kate Maguire/Iona Hampson/,Boo Jackson/Tom Heath/Gwen Morris/Joseph Heil/Joseph Heil/Emily Dimino/Max Miller/Raquel Chambers/Simdi Obodosike/Katie Hayes/Tabitha Bennett/,2016-04-18,Boo Jackson and Tom Heath,by Boo Jackson and Tom Heath,by Boo Jackson and Tom Heath,18-19 April 2016,Fringe,Hinged,show,Lincoln Library,2015-16
NA,NA,2016-06-15,Alex Wells-King & Adam Willis,by Alex Wells-King & Adam Willis,by Alex Wells-King & Adam Willis,15 June 2016,STUFF,I Keep A Woman In My Flat Chained To A Radiator,show,New Theatre,2015-16
Laurence Cuthbert/Duncan McGillivray/Emilie Brittain/Daniella Finch/Joe Hincks/Tom Tolond/Beth Angella/Sasha Gibson/Cameron Walker/Izzie Masters/Bethany O'Brien/Jess Leppington/,Chris Trueman/Emma Kendall/Sam Osborne/Joanne Blunt/David Taylor/Arthur Mckechnie/Ollie Shortt/Jess Donn/Emily Sterling/Anna Scholes/Jake Leonard/Eden Phillips Harrington/Libby Boyd/Tom Proffitt/James Curling/Hayden Ashby/Emilie Brittain/Chris Trueman/Emma Kendall/Nathan Penney/Darcey Graham/Will Berrington/Tom Proffitt/Eden Phillips Harrington/Ed Eggleton/Charlotte Kirkman/Arnaud Lacey/Andrew Calverley/Mane Davtyan/Joanna Manning/Adam Humphries/James Fox/Rohanna Brown/Hannah Burne/Ben Woodford/,2015-12-02,Eugène Ionesco,by Eugène Ionesco,by Eugène Ionesco; Translated by Charles Marowitz,2-5 December 2015,In House,Macbett,show,New Theatre,2015-16
Joe Strickland/Almaz Rish/Sam Peake/Bernie Kerr/Ronan Lee/Charlie Jamieson/Maggie Dorling/Rachael Baines/Emma Summerton/Ben Dillon/Will Baglin/Maddy Strauss/Josh Mallalieu/Beth Wilson/Tom Willis/Jeremy Dunn/,Felicity Chilver/Debby Moore/Joanne Blunt/Joseph Heil/Ben Woodford/Morgan Whiting-Fawcett/Florence Sandford-Richardson/Elizabeth Sandford-Richardson/Simran Gill/Darcey Graham/Eleanor Walker/Daniella Finch/Nathan Penney/Tom Proffitt/Andrew Calverley/Adam Humphries/Will Berrington/Rohanna Brown/Mane Davtyan/Arthur Mckechnie/,2015-12-08,Mikhail Bulgakov,by Mikhail Bulgakov,by Mikhail Bulgakov; Adapted by Edward Kemp,8-11 December 2015,In House,The Master and Margarita,show,New Theatre,2015-16
Josh Battaliou/Beth Wilson/Libby Boyd/Arnaud Lacey/Elis Edhem/Lara Bellis/Emma Fearon/Michaela Green/Ella Hiscocks/Melina Paneris/Joe Strickland/Rachael Maltby/Jessica Millott/,Martin Berry/Laura Jayne Bateman/Lucy Price/Richard Statham/Jo James/Helen Fownes-Davies/Emma Williams/,2016-04-19,Steven Berkoff,by Steven Berkoff,by Steven Berkoff,19-23 April 2016,Lakeside,Oedipus The King,show,Djanogly Theatre,2015-16
Ollie Shortt/Maggie Dorling/Michaela Green/Daniella Finch/Alice Simmons/Molly Fenton/Louis Djalili/Harry Pavlou/,Jessica Millott/Bessie Ephgrave/Mane Davtyan/James Fox/Tom Selves/Beth Wilson/Ella Hiscocks/James Fox/,2016-05-09,Jess Millott,by Jess Millott,by Jess Millott,9-10 May 2016,Fringe,Out of Wonderland,show,New Theatre Studio A,2015-16
Anna Stubbs/Chloe Grant/Pete Przyslo/Harry Pavlou/Charlotte Sanders/Max Miller/Arnaud Lacey/Dina Elkordy/,Ollie Shortt/Lydia Smith/Jake Beach/Gus Herbert/Melina Paneris/James Fox/Emma Kendall/Ben Woodford/Nathan Penney/James Fox/Matt Standen/Elis Edhem/Shivani Gupta/Mane Davtyan/Sam Layton/Jess Donn/Andrew Calverley/Tom Selves/Darcey Graham/Joseph Heil/Emma Kendall/Aashna Malik/Tom Proffitt/Maddy Strauss/Emily Sterling/Sasha Gibson/Max Miller/Nathan Penney/Natalia Gonzalez Morales/,2015-10-28,Simon Stephens,by Simon Stephens,by Simon Stephens,28-31 October 2015,In House,Pornography,show,New Theatre,2015-16
Libby Boyd/Bethany Ames/Charlotte Kirkman/Sophie Walton/Joe Caunce/,Will Berrington/Anna Scholes/Sam Edwards/Darcey Graham/Emma Fearon/Darcey Graham/Emma Fearon/Nathan Penney/Ross Brisk/Eden Phillips Harrington/Nikki Hill/Tom Selves/Emma Kendall/Arthur Mckechnie/James Fox/Ellie Webb/Dina Elkordy/Joanne Blunt/Ben Woodford/Rohanna Brown/Eden Phillips Harrington/Jodie Marley/Sarah Belshaw/Sara Anderson/Emma Kendall/Sasha Gibson/Shannon Moffatt/Will Berrington/Ben Hollands/,2015-11-04,Anna Longaretti,by Anna Longaretti,by Anna Longaretti,4-7 November 2015,In House,Sex Cells,show,New Theatre,2015-16
Charlie Jamieson/Duncan McGillivray/Lara Cowler/Cameron Walker/Ted Marriott/,Liam McClelland/Rory O'Shea/Ronan Lee/Peri Ozkarapinar/Arthur Mckechnie/Harry Bridge/Darcey Graham/Joanne Blunt/Ben Woodford/Rohanna Brown/Elis Edhem/Jess Donn/Emily Dimino/Adam Humphries/Joanna Manning/Laura McMullin/Jens Lichter/Tom Proffitt/Michaela Green/Bethany Jones/Angharad Davies/Max Miller/,2016-04-27,Mark Ravenhill,by Mark Ravenhill,by Mark Ravenhill,27-30 April 2016,In House,Shopping & F***ing,show,New Theatre,2015-16
NA,NA,2016-06-14,Jack Solloway,by Jack Solloway,by Jack Solloway,14 June 2016,STUFF,Sisyphus's Safari (The Boy With No Face),show,New Theatre Studio A,2015-16
Arnaud Lacey/Emma Kendall/Jess Curtis/Izzy Miles/Josh Battaliou/Alice Simmons/,Ian Sheard/Jamie Drew/Nathan Penney/Joanne Blunt/Rohanna Brown/Eden Phillips Harrington/Jodie Marley/Emily Sterling/,2015-11-16,Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,by Ian Sheard & Jamie Drew,16-17 November 2015,Fringe,Sketchy Characters,show,Trent/Great Hall,2015-16
Libby Boyd/Gus Herbert/Andrew Houghton/,Tom Proffitt/Jess Curtis/Gemma Power/Ross Brisk/Emma Barber/Sam Osborne/Hazel O'Donohoe/Joe Strickland/Rohanna Brown/Joanne Blunt/Joanna Manning/Darcey Graham/Adam Humphries/Ellie Webb/Niamh Caines/James Fox/Emma Kendall/Ed Eggleton/Beth Angella/Emily Dimino/Jens Lichter/Nathan Penney/Max Miller/,2016-03-09,David Hare,by David Hare,by David Hare,9-12 March 2016,In House,Skylight,show,New Theatre,2015-16
Gil Eplan-Frankel/Chris Sharp-Paul/Sam Peake/,Will Berrington/Jake Beach/Becca David/Adam Humphries/Nathan Penney/Nathan Penney/Will Berrington/Ollie Shortt/Rohanna Brown/Joanna Manning/Andrew Calverley/Joanne Blunt/James Fox/Emilie Brittain/Dave Porter/Sasha Gibson/Sue White/Jamie Stevens/Ella Quinton/,2016-03-15,Frank McGuinness,by Frank McGuinness,by Frank McGuinness,15-18 March 2016,In House,Someone Who'll Watch Over Me,show,New Theatre,2015-16
Shannon Smith/Chris Sharp-Paul/,Tom Tolond/Gus Herbert/,2016-05-30,Keith Huff,by Keith Huff,by Keith Huff,30-31 May 2016,External,A Steady Rain,show,New Theatre Studio A,2015-16
Melina Paneris/Josh Mallalieu/Natalia Gonzalez Morales/Chloe Wilson/Amy Naylor/Gary Berezin/Laura Thornton/,Joe Strickland/James Collyer/Joe Strickland/Joseph Heil/Emily Sterling/Sam Layton/Beth Mullen/,2015-11-29,null,Devised,Devised,29-30 November 2015,Fringe,Strangers,show,New Theatre Studio A and B,2015-16
NA,NA,2016-06-14,null,Devised,Devised,14 June 2016,STUFF,Strangers - A Magic Play,show,New Theatre,2015-16
Rachel Towers/Iona Hampson/Jake McGrath/Beth Mullen/Miguel Barrulas/James Curling/Lara Cowler/Andrew Houghton/Matt Hodges/Kate Maguire/,Ricki Crook/Holly Gatfield/Nathan Penney/Joanna Manning/Ross Brisk/Sam Layton/Hazel O'Donohoe/Joanna Manning/Andrew Calverley/Emily Sterling/Emma Barber/Shivani Gupta/Mane Davtyan/Rohanna Brown/Max Miller/,2015-11-25,Frances Goodrich & Albert Hackett,by Frances Goodrich & Albert Hackett,by Frances Goodrich & Albert Hackett,25-28 November 2015,In House,The Diary of Anne Frank,show,New Theatre,2015-16
Nick Gill/Libby Boyd/Harry Bradley/Ben Standish/Becca Jones/,Laura Jayne Bateman/Lydia Smith/Gigi George/James Fox/Gus Herbert/James Roscow/Aneesa Kaleem/Tom Heath/Ed Eggleton/Sasha Butler/Ollie Shortt/Tom Selves/Omid Faramarzi/Dina Elkordy/Laura Jayne Bateman/Aneesa Kaleem/,2015-12-06,F. Scott Fitzgerald,by F. Scott Fitzgerald,by F. Scott Fitzgerald; Adapted by L. J. Bateman,6-7 December 2015,Fringe,The Great Gatsby,show,Trent/Performing Arts Studio,2015-16
Nick Gill/Sophie Walton/Harry Bradley/Harry Pavlou/Sasha Butler/,Laura Jayne Bateman/Gigi George/Arthur Mckechnie/James Fox/Ollie Shortt/Aneesa Kaleem/Dina Elkordy/,2016-08-06,F. Scott Fitzgerald,by F. Scott Fitzgerald,by F. Scott Fitzgerald; Adapted by L. J. Bateman,6-26 August 2016,Edinburgh,The Great Gatsby,show,Royal Terrace/Greenside,2015-16
Nick Gill/Sophie Walton/Harry Bradley/Harry Pavlou/Sasha Butler/,Laura Jayne Bateman/Gigi George/Arthur Mckechnie/James Fox/Ollie Shortt/Aneesa Kaleem/,2016-06-15,F. Scott Fitzgerald,by F. Scott Fitzgerald,by F. Scott Fitzgerald; Adapted by L. J. Bateman,15 June 2016,STUFF,The Great Gatsby,show,New Theatre,2015-16
George Waring/James Curling/Izzie Masters/Emma Summerton/Chrissy Courquin/Iona Hampson/Neil Ganatra/Joe Hincks/Darcey Graham/,Nathan Penney/Ross Brisk/James Pheasy/Ben Woodford/Ben Woodford/Jess Donn/Ross Brisk/Rohanna Brown/Tom Proffitt/Emily Dimino/Joanna Manning/Eden Phillips Harrington/Max Miller/,2016-05-11,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,11-14 May 2016,In House,The Importance of Being Earnest,show,New Theatre,2015-16
NA,NA,2016-05-25,Oscar Wilde,by Oscar Wilde,by Oscar Wilde,25-28 May 2016,Postgrads,The Importance of Being Earnest,show,New Theatre,2015-16
Boo Jackson/Emmy Latham/Emma White/Ronan Lee/Beth Summerfield/Beth Angella/Arshia Jain/Josie Macgilchrist/Will Baglin/,Joe Strickland/James Collyer/Emma Summerton/Joe Strickland/Joanne Blunt/Sam Layton/Maddy Strauss/,2016-06-01,Caryl Churchill,by Caryl Churchill,by Caryl Churchill,1-2 June 2016,External,The Skriker,show,New Theatre,2015-16
Maddy Strauss/Felicity Chilver/Anna Scholes/Malcolm Jeunet/Thomas Dooner/Emily Sterling/Matt Standen/Daniella Finch/Josh Mallalieu/Laurence Cuthbert/,Chris Trueman/Emma Kendall/Emma Summerton/David Taylor/Sam Osborne/Joanne Blunt/Jess Donn/Ravin Thakrar/Emma Barber/Ross Brisk/Joanna Manning/James Fox/Mane Davtyan/Joseph Heil/Nathan Penney/Emily Dimino/Adam Humphries/James Curling/Max Miller/Tom Proffitt/Beth Angella/Darcey Graham/Will Berrington/Arthur Mckechnie/Sasha Gibson/Almaz Rish/,2016-04-20,William Shakespeare,by William Shakespeare,by William Shakespeare,20-23 April 2016,In House,The Tempest,show,New Theatre,2015-16
